multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad,imagen,patente_imagen,ratio
1108,GN64OTP,1932-01-01,18:49,85.0,60,RUTA 9,R03,ERROR,25.0,22.0,,,
1109,T0YDR,1932-01-01,14:41,90.0,80,AV LIBERTADOR,,ERROR,10.0,6.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/4cb48c8bf41b70a4_patente.jpg,TBYDR,0.8
1113,INTIGR8,1932-01-01,00:00,95.0,40,AV SIEMPRE VIVA,R02,PAGADA,55.0,53.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/da1352ab6054a2e4_patente.jpg,INTIGR8,1.0
1115,6EVY261,1932-01-01,00:00,121.0,80,AV LIBERTADOR,,ERROR,41.0,37.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/081f5a6bc61b9c48_patente.jpg,6EVY261,1.0
1117,BHRP770,1932-01-01,00:00,158.0,80,RUTA 9,,APELADA,78.0,74.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,1.0
1120,T0YDR,1932-01-01,18:50,68.0,40,AV LIBERTADOR,R03,IMPAGA,28.0,26.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/4cb48c8bf41b70a4_patente.jpg,TBYDR,0.8
1125,3646HBH,1932-01-01,08:44,142.0,80,AV LIBERTADOR,,ERROR,62.0,58.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/d3729058c6a4186e_patente.jpg,3646HBH,1.0
1126,DK414N,1932-01-01,08:44,88.0,40,RUTA 9,R03,ERROR,48.0,46.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/2a3e44107826e876_patente.jpg,DK414N,1.0
1127,2999961,1932-01-01,00:00,88.0,60,AV LIBERTADOR,R02,APELADA,28.0,25.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/5ff91ccfc6f15d04_patente.jpg,2999961,1.0
1128,INTIGR8,1932-01-01,00:00,114.0,60,AV SIEMPRE VIVA,R02,APELADA,54.0,51.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/da1352ab6054a2e4_patente.jpg,INTIGR8,1.0
1129,XIIUME,1932-01-01,14:42,158.0,80,AV SIEMPRE VIVA,R03,IMPAGA,78.0,74.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XIIUME,1.0
1137,AWS167,1932-01-01,18:50,56.0,40,RUTA 9,R01,ERROR,16.0,14.0,,,
1138,NAN,2020-06-28,00:00,91.0,80,AV LIBERTADOR,R02,ERROR,11.0,7.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/b01d46f9911d558b.jpg,NAN,1.0
1139,GLEN1E,1932-01-01,14:42,75.0,40,AV SIEMPRE VIVA,R02,PAGADA,35.0,33.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/b9f5b9acf1777acf.jpg,GLENIE,0.8333
1140,990XYK,1932-01-01,18:50,103.0,40,AV SIEMPRE VIVA,,PAGADA,63.0,61.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/11f80fda2c38011c.jpg,990XWK,0.8333
1141,J1S1,1932-01-01,00:00,91.0,40,AV SIEMPRE VIVA,R03,APELADA,51.0,49.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,1.0
1145,6611172,1932-01-01,00:00,150.0,80,AV LIBERTADOR,,ERROR,70.0,66.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,1.0
1147,AI7OVF,1932-01-01,14:42,114.0,60,AV LIBERTADOR,R01,ERROR,54.0,51.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,0.8333
1148,WU08YWC,1932-01-01,14:42,146.0,80,AV LIBERTADOR,R03,IMPAGA,66.0,62.0,,,
1149,BB8986,1932-01-01,00:00,73.0,60,RUTA 9,,ERROR,13.0,10.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,1.0
1150,9999868,1932-01-01,08:45,123.0,80,AV LIBERTADOR,,PAGADA,43.0,39.0,,,
1155,6NCE831,1932-01-01,08:45,140.0,80,RUTA 9,,IMPAGA,60.0,56.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/0ee91c4938b6e7ee_patente.jpg,6NCE831,1.0
1156,M431ZW,2021-08-20,00:00,114.0,60,AV SIEMPRE VIVA,R03,PAGADA,54.0,51.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,0.8333
1162,6NCE831,1932-01-01,08:46,62.0,40,AV LIBERTADOR,R01,PAGADA,22.0,20.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/0ee91c4938b6e7ee_patente.jpg,6NCE831,1.0
1164,AWS167,2020-02-03,08:46,85.0,40,RUTA 9,R01,IMPAGA,45.0,43.0,,,
1165,409,1932-01-01,00:00,111.0,40,AV LIBERTADOR,R03,IMPAGA,71.0,69.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7bcf6b4ec09f1ea7_patente.jpg,409,1.0
1166,PIW4215,1932-01-01,08:46,109.0,80,AV SIEMPRE VIVA,,APELADA,29.0,25.0,,,
1167,81ZFJD,1932-01-01,00:00,113.0,40,AV SIEMPRE VIVA,R02,IMPAGA,73.0,71.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/02a6ef3d9bd68e91_patente.jpg,81ZFID,0.8333
1169,2999961,2023-12-02,00:00,155.0,80,RUTA 9,R02,APELADA,75.0,71.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/5ff91ccfc6f15d04_patente.jpg,2999961,1.0
1170,81ZFJD,2023-02-06,00:00,116.0,60,AV SIEMPRE VIVA,R02,IMPAGA,56.0,53.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/02a6ef3d9bd68e91_patente.jpg,81ZFID,0.8333
1172,YLO8WUE,1932-01-01,08:47,108.0,40,AV LIBERTADOR,,IMPAGA,68.0,66.0,,,
1173,2999961,1932-01-01,14:43,112.0,80,RUTA 9,,PAGADA,32.0,28.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/5ff91ccfc6f15d04_patente.jpg,2999961,1.0
1176,409,1932-01-01,08:47,90.0,80,RUTA 9,R03,APELADA,10.0,6.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7bcf6b4ec09f1ea7_patente.jpg,409,1.0
1181,NHZ1002,1932-01-01,18:51,71.0,40,RUTA 9,R03,APELADA,31.0,29.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/1071b237587a698b_patente.qoi,NHZ1002,1.0
1184,HK06YMX,1932-01-01,18:52,116.0,60,AV SIEMPRE VIVA,R01,ERROR,56.0,53.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/9a4fe6361597f264_patente.jpg,HKO6YMX,0.8571
1186,WEFLYN,1932-01-01,00:00,121.0,60,AV LIBERTADOR,R03,ERROR,61.0,58.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/29f7991e696e6e3f_patente.jpg,WEFLYN,1.0
1190,FD1475,2022-03-04,00:00,58.0,40,AV LIBERTADOR,R03,ERROR,18.0,16.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/d8daed582e6cce2d_patente.jpg,FD147,0.8333
1191,WU08YWC,1932-01-01,00:00,86.0,80,AV SIEMPRE VIVA,R01,PAGADA,6.0,2.0,,,
1193,CT5B876,1932-01-01,18:52,46.0,40,RUTA 9,R03,ERROR,6.0,4.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/39c193bcc0c00f9e_patente.jpg,C75B876,0.8571
1194,MPX9357,1932-01-01,14:44,143.0,80,AV SIEMPRE VIVA,,ERROR,63.0,59.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/182268e1f8c6525f_patente.jpg,MPX9357,1.0
1195,AI7OVF,1932-01-01,00:00,60.0,40,RUTA 9,R01,IMPAGA,20.0,18.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,0.8333
1197,GOOGLE,1932-01-01,08:47,67.0,60,AV LIBERTADOR,R02,PAGADA,7.0,4.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/593e594137f374ab.jpg,GOOGLE,1.0
1200,WU08YWC,1932-01-01,14:44,111.0,60,RUTA 9,R01,IMPAGA,51.0,48.0,,,
1203,BB8986,1932-01-01,00:00,104.0,60,AV LIBERTADOR,R01,APELADA,44.0,41.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,1.0
1204,HF3461,1932-01-01,18:53,94.0,80,AV SIEMPRE VIVA,R01,PAGADA,14.0,10.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/a6e3b0b73220cd32_patente.jpg,HF3461,1.0
1208,6611172,2020-05-07,18:53,61.0,40,AV LIBERTADOR,R03,ERROR,21.0,19.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,1.0
1209,GN64OTP,2021-07-13,00:00,118.0,80,AV LIBERTADOR,R02,PAGADA,38.0,34.0,,,
1211,WEFLYN,1932-01-01,00:00,105.0,40,AV SIEMPRE VIVA,,APELADA,65.0,63.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/29f7991e696e6e3f_patente.jpg,WEFLYN,1.0
1221,BM351,2020-05-20,00:00,125.0,80,AV SIEMPRE VIVA,R02,ERROR,45.0,41.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/9995dfc6e0eae5a1_patente.jpg,BM351,1.0
1224,PIW4215,1932-01-01,14:44,134.0,80,AV SIEMPRE VIVA,,PAGADA,54.0,50.0,,,
1226,XIIUME,1932-01-01,00:00,98.0,80,AV LIBERTADOR,,PAGADA,18.0,14.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XIIUME,1.0
1230,GCP332,1932-01-01,00:00,111.0,40,AV LIBERTADOR,R01,IMPAGA,71.0,69.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/d648b2ae1abc09f3_patente.jpg,GCP332,1.0
1231,BHRP770,1932-01-01,14:44,115.0,60,AV LIBERTADOR,R02,APELADA,55.0,52.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,1.0
1236,T0YDR,1932-01-01,00:00,120.0,60,AV SIEMPRE VIVA,R02,PAGADA,60.0,57.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/4cb48c8bf41b70a4_patente.jpg,TBYDR,0.8
1242,409,2021-12-25,00:00,107.0,60,AV LIBERTADOR,R02,PAGADA,47.0,44.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7bcf6b4ec09f1ea7_patente.jpg,409,1.0
1246,WEFLYN,2023-03-05,08:49,46.0,40,RUTA 9,R02,ERROR,6.0,4.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/29f7991e696e6e3f_patente.jpg,WEFLYN,1.0
1248,VTIIAHV,1932-01-01,14:45,49.0,40,RUTA 9,,PAGADA,9.0,7.0,,,
1249,81ZFJD,2021-05-19,00:00,120.0,40,RUTA 9,,ERROR,80.0,78.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/02a6ef3d9bd68e91_patente.jpg,81ZFID,0.8333
1251,6EVY261,2023-01-05,14:45,133.0,60,AV SIEMPRE VIVA,,ERROR,73.0,70.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/081f5a6bc61b9c48_patente.jpg,6EVY261,1.0
1254,HF58HXP,2023-07-28,00:00,86.0,80,AV SIEMPRE VIVA,R03,IMPAGA,6.0,2.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,0.8571
1255,T0YDR,2020-12-01,00:00,139.0,60,AV LIBERTADOR,R03,APELADA,79.0,76.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/4cb48c8bf41b70a4_patente.jpg,TBYDR,0.8
1256,BX55DOG,1932-01-01,00:00,156.0,80,AV SIEMPRE VIVA,,ERROR,76.0,72.0,,,
1257,J1S1,2023-08-09,08:50,60.0,40,AV LIBERTADOR,R01,IMPAGA,20.0,18.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,1.0
1258,AWS167,2020-11-05,00:00,107.0,40,AV SIEMPRE VIVA,R01,APELADA,67.0,65.0,,,
1259,691XC80,1932-01-01,00:00,117.0,80,AV LIBERTADOR,,APELADA,37.0,33.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,1.0
1260,FD1475,1932-01-01,08:50,79.0,60,AV SIEMPRE VIVA,R02,IMPAGA,19.0,16.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/d8daed582e6cce2d_patente.jpg,FD147,0.8333
1263,M431ZW,1932-01-01,00:00,120.0,60,RUTA 9,R03,APELADA,60.0,57.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,0.8333
1264,M431ZW,1932-01-01,08:50,132.0,60,AV LIBERTADOR,R01,ERROR,72.0,69.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,0.8333
1266,990XYK,2022-05-24,18:55,109.0,40,RUTA 9,R01,PAGADA,69.0,67.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/11f80fda2c38011c.jpg,990XWK,0.8333
1270,UW3932,2023-07-14,08:51,117.0,80,RUTA 9,R03,IMPAGA,37.0,33.0,,,
1272,WU341A,1932-01-01,08:51,76.0,40,AV SIEMPRE VIVA,R02,ERROR,36.0,34.0,,,
1273,GN64OTP,2021-12-23,00:00,78.0,40,AV LIBERTADOR,R01,IMPAGA,38.0,36.0,,,
1276,6EVY261,2021-10-24,00:00,107.0,80,AV LIBERTADOR,R02,PAGADA,27.0,23.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/081f5a6bc61b9c48_patente.jpg,6EVY261,1.0
1277,DK414N,2022-10-01,14:46,103.0,80,AV SIEMPRE VIVA,,IMPAGA,23.0,19.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/2a3e44107826e876_patente.jpg,DK414N,1.0
1279,UW3932,1932-01-01,00:00,68.0,40,RUTA 9,,IMPAGA,28.0,26.0,,,
1280,81ZFJD,1932-01-01,08:51,103.0,40,RUTA 9,,APELADA,63.0,61.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/02a6ef3d9bd68e91_patente.jpg,81ZFID,0.8333
1281,FVIOUHP,1932-01-01,00:00,113.0,80,AV LIBERTADOR,,IMPAGA,33.0,29.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/28e26a4eb646c67a_patente.jpg,FVIDUHP,0.8571
1283,NAN,1932-01-01,00:00,90.0,60,AV SIEMPRE VIVA,R03,IMPAGA,30.0,27.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/b01d46f9911d558b.jpg,NAN,1.0
1284,5777770,2022-04-11,18:56,64.0,40,AV SIEMPRE VIVA,R02,IMPAGA,24.0,22.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,5777770,1.0
1286,NHZ1002,1932-01-01,08:52,79.0,40,AV SIEMPRE VIVA,R03,IMPAGA,39.0,37.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/1071b237587a698b_patente.qoi,NHZ1002,1.0
1289,NHZ1002,1932-01-01,14:46,146.0,80,RUTA 9,R02,ERROR,66.0,62.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/1071b237587a698b_patente.qoi,NHZ1002,1.0
1294,TL03GOG,1932-01-01,00:00,87.0,40,RUTA 9,R01,PAGADA,47.0,45.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/fdd963edc28bf163_patente.jpg,TL03G0G,0.8571
1295,990XYK,2021-08-08,18:56,141.0,80,AV LIBERTADOR,,IMPAGA,61.0,57.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/11f80fda2c38011c.jpg,990XWK,0.8333
1301,589222,2020-12-17,14:47,122.0,60,AV SIEMPRE VIVA,R02,PAGADA,62.0,59.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/246a0e4264a39433_patente.jpg,589222,1.0
1302,589222,1932-01-01,18:56,64.0,60,RUTA 9,R01,ERROR,4.0,1.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/246a0e4264a39433_patente.jpg,589222,1.0
1304,8B90638,2021-01-11,00:00,94.0,80,RUTA 9,R02,APELADA,14.0,10.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/6a0ef049e5ec4b16_patente.jpg,8B90638,1.0
1305,BM351,2020-08-12,08:53,81.0,40,AV LIBERTADOR,R02,PAGADA,41.0,39.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/9995dfc6e0eae5a1_patente.jpg,BM351,1.0
1306,810TCH,1932-01-01,00:00,72.0,40,RUTA 9,,PAGADA,32.0,30.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/53ad98b12752ad16_patente.jpg,810TCH,1.0
1309,2999961,1932-01-01,14:47,122.0,60,AV LIBERTADOR,R01,PAGADA,62.0,59.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/5ff91ccfc6f15d04_patente.jpg,2999961,1.0
1310,DK414N,2023-11-26,00:00,153.0,80,AV LIBERTADOR,R03,PAGADA,73.0,69.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/2a3e44107826e876_patente.jpg,DK414N,1.0
1313,CD05601,1932-01-01,14:47,100.0,80,AV LIBERTADOR,R01,ERROR,20.0,16.0,,,
1315,831MDB,1932-01-01,08:54,76.0,60,AV LIBERTADOR,R02,ERROR,16.0,13.0,,,
1316,GOOGLE,1932-01-01,00:00,79.0,40,AV SIEMPRE VIVA,,IMPAGA,39.0,37.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/593e594137f374ab.jpg,GOOGLE,1.0
1317,B81JKY,1932-01-01,08:54,96.0,60,AV LIBERTADOR,,IMPAGA,36.0,33.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/80e02a518ffe4cb2.jpg,B81JKY,1.0
1318,GCP332,2023-02-09,00:00,125.0,80,AV LIBERTADOR,R03,APELADA,45.0,41.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/d648b2ae1abc09f3_patente.jpg,GCP332,1.0
1321,UW3932,1932-01-01,14:48,43.0,40,RUTA 9,R03,IMPAGA,3.0,1.0,,,
1322,GOOGLE,1932-01-01,00:00,92.0,60,AV LIBERTADOR,,APELADA,32.0,29.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/593e594137f374ab.jpg,GOOGLE,1.0
1326,VY90540,1932-01-01,18:57,145.0,80,AV LIBERTADOR,R03,APELADA,65.0,61.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/288a95c01e43cd14_patente.jpg,VY90540,1.0
1328,W326AVE,1932-01-01,14:48,126.0,80,AV LIBERTADOR,R02,ERROR,46.0,42.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/6c144e47161867c2_patente.jpg,W326AVE,1.0
1329,GOOGLE,1932-01-01,18:57,46.0,40,AV LIBERTADOR,R01,PAGADA,6.0,4.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/593e594137f374ab.jpg,GOOGLE,1.0
1330,VNK296GP,1932-01-01,08:54,107.0,80,RUTA 9,R01,APELADA,27.0,23.0,,,
1331,NTHGLFT,1932-01-01,00:00,102.0,80,AV LIBERTADOR,R02,IMPAGA,22.0,18.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/5fb888d79b551331.jpg,NTHGLFT,1.0
1332,UM96201,1932-01-01,18:57,91.0,60,AV LIBERTADOR,R02,APELADA,31.0,28.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/09453a7c716a9ef3_patente.jpg,UM96201,1.0
1335,OUTSTDN,2023-10-27,00:00,58.0,40,RUTA 9,R01,PAGADA,18.0,16.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/1ca1155083156d72_patente.jpg,OUTSTDN,1.0
1336,NHZ1002,1932-01-01,00:00,96.0,40,AV LIBERTADOR,R01,ERROR,56.0,54.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/1071b237587a698b_patente.qoi,NHZ1002,1.0
1337,MVU4688,1932-01-01,18:57,122.0,60,AV LIBERTADOR,R03,IMPAGA,62.0,59.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688,1.0
1339,RFH373,1932-01-01,00:00,72.0,40,AV SIEMPRE VIVA,,IMPAGA,32.0,30.0,,,
1340,9999868,1932-01-01,08:55,128.0,80,AV SIEMPRE VIVA,R03,APELADA,48.0,44.0,,,
1342,GLEN1E,2022-03-15,00:00,130.0,60,AV SIEMPRE VIVA,R01,ERROR,70.0,67.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/b9f5b9acf1777acf.jpg,GLENIE,0.8333
1346,CBMUK,1932-01-01,08:55,117.0,80,AV SIEMPRE VIVA,,IMPAGA,37.0,33.0,,,
1348,NTHGLFT,1932-01-01,14:48,98.0,60,AV LIBERTADOR,,PAGADA,38.0,35.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/5fb888d79b551331.jpg,NTHGLFT,1.0
1349,GOOGLE,1932-01-01,18:58,49.0,40,RUTA 9,R02,PAGADA,9.0,7.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/593e594137f374ab.jpg,GOOGLE,1.0
1351,691XC80,1932-01-01,18:58,78.0,60,AV LIBERTADOR,,APELADA,18.0,15.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,1.0
1352,B81JKY,1932-01-01,00:00,117.0,80,RUTA 9,R01,IMPAGA,37.0,33.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/80e02a518ffe4cb2.jpg,B81JKY,1.0
1354,W326AVE,1932-01-01,14:48,117.0,60,RUTA 9,R03,IMPAGA,57.0,54.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/6c144e47161867c2_patente.jpg,W326AVE,1.0
1359,0695DVH,1932-01-01,00:00,126.0,60,AV SIEMPRE VIVA,R03,PAGADA,66.0,63.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/12b7ea40074d3b20.jpg,0695DVH,1.0
1361,6NCE831,1932-01-01,08:55,75.0,60,AV LIBERTADOR,R01,IMPAGA,15.0,12.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/0ee91c4938b6e7ee_patente.jpg,6NCE831,1.0
1368,VNK296GP,1932-01-01,08:56,68.0,60,AV LIBERTADOR,,IMPAGA,8.0,5.0,,,
1369,J1S1,2023-07-29,18:59,98.0,80,AV SIEMPRE VIVA,R03,ERROR,18.0,14.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,1.0
1370,CBMUK,1932-01-01,00:00,112.0,80,AV SIEMPRE VIVA,R03,APELADA,32.0,28.0,,,
1372,CBMUK,1932-01-01,00:00,126.0,80,RUTA 9,R03,ERROR,46.0,42.0,,,
1373,41RSTZ,1932-01-01,14:48,43.0,40,AV LIBERTADOR,R01,ERROR,3.0,1.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/86c92b0402fec141_patente.jpg,41RSTZ,1.0
1374,HAMSTUR,1932-01-01,08:56,107.0,80,RUTA 9,R02,ERROR,27.0,23.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/a929dc75c20da7d8_patente.jpg,HAMSTUR,1.0
1379,HK06YMX,2020-02-04,14:49,91.0,60,RUTA 9,,PAGADA,31.0,28.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/9a4fe6361597f264_patente.jpg,HKO6YMX,0.8571
1380,BM351,1932-01-01,08:56,90.0,80,RUTA 9,R01,PAGADA,10.0,6.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/9995dfc6e0eae5a1_patente.jpg,BM351,1.0
1381,BM351,1932-01-01,14:49,107.0,40,AV LIBERTADOR,R01,APELADA,67.0,65.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/9995dfc6e0eae5a1_patente.jpg,BM351,1.0
1383,M20CPR,1932-01-01,19:00,99.0,60,AV LIBERTADOR,,APELADA,39.0,36.0,,,
1387,6NCE831,1932-01-01,00:00,136.0,80,AV SIEMPRE VIVA,,PAGADA,56.0,52.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/0ee91c4938b6e7ee_patente.jpg,6NCE831,1.0
1388,2999961,1932-01-01,14:50,118.0,80,AV LIBERTADOR,R03,IMPAGA,38.0,34.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/5ff91ccfc6f15d04_patente.jpg,2999961,1.0
1389,VTIIAHV,1932-01-01,08:57,57.0,40,RUTA 9,R03,ERROR,17.0,15.0,,,
1391,UM96201,1932-01-01,08:57,94.0,80,RUTA 9,R03,PAGADA,14.0,10.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/09453a7c716a9ef3_patente.jpg,UM96201,1.0
